,doc_id,Untagged,ActorsAbstractions,ActorsPeople,SignpostingMetadiscourse,OrganizationNarrative,OrganizationReasoning,SentimentNegative,SentimentPositive,SignpostingAcademicWritingMoves,ConfidenceHedged,ActorsPublicEntities,PlanningStrategy,StanceEmphatic,ConfidenceHigh,PlanningFuture,ActorsFirstPerson,CitationAuthority,StanceModerated,CitationNeutral,CitationControversy
0,ARTS_S0039368115001612,3726,696,289,164,112,152,126,98,40,61,52,11,44,64,14,19,17,16,26,32
1,ARTS_S0039368116300449,4719,1154,265,168,159,170,94,252,60,94,169,42,49,58,17,29,6,11,12,5
2,ARTS_S0039368117300390,7766,999,476,343,237,270,266,194,29,156,73,35,88,92,120,34,26,37,29,24
3,ARTS_S0039368117300717,4167,732,220,98,130,104,186,98,30,70,41,29,24,35,25,30,11,9,4,14
4,ARTS_S0039368118300190,5521,1060,222,241,192,221,204,323,60,159,152,46,52,54,152,11,7,23,19,17
5,ARTS_S0160932715300235,1530,247,111,51,66,51,142,37,23,18,29,3,7,14,4,7,2,6,2,10
6,ARTS_S0160932715300284,3814,769,332,142,176,86,295,122,22,26,147,17,36,34,20,7,13,17,11,6
7,ARTS_S0160932716300035,6195,738,492,185,215,96,119,160,12,56,147,58,55,51,36,14,17,21,15,0
8,ARTS_S0160932716300308,3042,431,85,83,116,132,50,50,18,39,26,29,26,20,22,7,10,15,9,1
9,ARTS_S0160932718300012,2663,409,136,111,134,51,90,117,12,27,218,35,22,17,28,6,6,4,10,7
10,ARTS_S1369848613001349,5206,1017,478,145,246,117,278,228,28,46,180,53,32,35,21,9,10,11,5,24
11,ARTS_S1369848613001507,2311,524,71,122,61,191,162,64,20,45,28,28,29,26,10,21,6,3,9,5
12,ARTS_S1369848613001696,5124,648,572,188,313,93,304,158,32,38,87,28,77,37,25,83,26,11,25,16
13,ARTS_S1369848613001763,5070,809,598,208,223,109,199,177,27,60,72,59,29,33,34,16,10,27,5,18
14,ARTS_S136984861400048X,4773,864,499,138,114,109,109,133,45,66,182,49,38,37,25,10,20,13,19,1
15,ARTS_S1369848614000867,4540,641,374,147,145,111,227,176,21,58,96,31,41,42,60,82,15,16,32,5
16,ARTS_S1369848615001132,4786,766,269,210,227,131,123,167,61,88,218,62,41,48,46,34,8,15,6,4
17,ARTS_S1369848615001284,4343,944,218,171,111,141,93,252,39,96,70,37,35,37,73,29,12,14,6,8
18,ARTS_S136984861630067X,4773,931,257,262,99,346,269,112,46,193,48,30,43,68,11,38,9,12,23,26
19,ARTS_S1369848617301814,4952,1120,382,161,193,137,108,128,37,47,156,38,37,11,25,11,13,7,4,5
